postcode_district,postcode_sector
B2,B2 2
B2,B2 4
B2,B2 5
B20,B20 1
B20,B20 2
B20,B20 3
B21,B21 0
B21,B21 1
B21,B21 8
B21,B21 9
B23,B23 3
B23,B23 5
B23,B23 6
B23,B23 7
B24,B24 0
B24,B24 8
B24,B24 9
B25,B25 8
B25,B25 9
B26,B26 1
B26,B26 2
B26,B26 3
B27,B27 6
B27,B27 7
B28,B28 0
B28,B28 1
B28,B28 8
B28,B28 9
B29,B29 4
B29,B29 5
B29,B29 6
B29,B29 7
B29,B29 9
B3,B3 1
B3,B3 2
B3,B3 3
B30,B30 1
B30,B30 2
B30,B30 3
B30,B30 9
B31,B31 1
B31,B31 2
B31,B31 3
B31,B31 4
B31,B31 5
B31,B31 9
B32,B32 1
B32,B32 2
B32,B32 3
B32,B32 4
B32,B32 9
B33,B33 0
B33,B33 3
B33,B33 8
B33,B33 9
B34,B34 6
B34,B34 7
B35,B35 6
B35,B35 7
B35,B35 9
B36,B36 0
B36,B36 8
B36,B36 9
B37,B37 5
B37,B37 6
B37,B37 7
B37,B37 9
B38,B38 0
B38,B38 8
B38,B38 9
B4,B4 6
B4,B4 7
B40,B40 1
B42,B42 1
B42,B42 2
B42,B42 9
B43,B43 5
B43,B43 6
B43,B43 7
B44,B44 0
B44,B44 8
B44,B44 9
B45,B45 0
B45,B45 5
B45,B45 8
B45,B45 9
B46,B46 1
B46,B46 2
B46,B46 3
B46,B46 9
B47,B47 5
B47,B47 6
B48,B48 7
B49,B49 5
B49,B49 6
B49,B49 9
B5,B5 4
B5,B5 5
B5,B5 6
B5,B5 7
B50,B50 4
B6,B6 4
B6,B6 5
B6,B6 6
B6,B6 7
B6,B6 9
B60,B60 1
B60,B60 2
B60,B60 3
B60,B60 4
B60,B60 9
B61,B61 0
B61,B61 7
B61,B61 8
B61,B61 9
B62,B62 0
B62,B62 2
B62,B62 8
B62,B62 9
B63,B63 1
B63,B63 2
B63,B63 3
B63,B63 4
B64,B64 5
B64,B64 6
B64,B64 7
B65,B65 0
B65,B65 8
B65,B65 9
B66,B66 1
B66,B66 2
B66,B66 3
B66,B66 4
B67,B67 5
B67,B67 6
B67,B67 7
B67,B67 9
B68,B68 0
B68,B68 8
B68,B68 9
B69,B69 1
B69,B69 2
B69,B69 3
B69,B69 4
B69,B69 9
B7,B7 4
B7,B7 5
B70,B70 0
B70,B70 1
B70,B70 6
B70,B70 7
B70,B70 8
B70,B70 9
B71,B71 1
B71,B71 2
B71,B71 3
B71,B71 4
B72,B72 1
B73,B73 5
B73,B73 6
B73,B73 9
B74,B74 2
B74,B74 3
B74,B74 4
B75,B75 5
B75,B75 6
B75,B75 7
B76,B76 0
B76,B76 1
B76,B76 2
B76,B76 9
B77,B77 1
B77,B77 2
B77,B77 3
B77,B77 4
B77,B77 5
B77,B77 9
B78,B78 1
B78,B78 2
B78,B78 3
B79,B79 0
B79,B79 7
B79,B79 8
B79,B79 9
B8,B8 1
B8,B8 2
B8,B8 3
B80,B80 7
B9,B9 4
B9,B9 5
B9,B9 9
B90,B90 1
B90,B90 2
B90,B90 3
B90,B90 4
B90,B90 8
B90,B90 9
B91,B91 1
B91,B91 2
B91,B91 3
B91,B91 9
B92,B92 0
B92,B92 7
B92,B92 8
B92,B92 9
B93,B93 0
B93,B93 3
B93,B93 8
B93,B93 9
B94,B94 5
B94,B94 6
B95,B95 5
B95,B95 6
B95,B95 8
B96,B96 6
B97,B97 4
B97,B97 5
B97,B97 6
B97,B97 9
B98,B98 0
B98,B98 7
B98,B98 8
B98,B98 9
B99,B99 1
BA1,BA1 0
BA1,BA1 1
BA1,BA1 2
BA1,BA1 3
BA1,BA1 4
BA1,BA1 5
BA1,BA1 6
BA1,BA1 7
BA1,BA1 8
BA1,BA1 9
BA10,BA10 0
BA11,BA11 1
BA11,BA11 2
BA11,BA11 3
BA11,BA11 4
BA11,BA11 5
BA11,BA11 6
BA11,BA11 9
BA12,BA12 0
BA12,BA12 2
BA12,BA12 6
BA12,BA12 7
BA12,BA12 8
BA12,BA12 9
BA13,BA13 2
BA13,BA13 3
BA13,BA13 4
BA13,BA13 9
BA14,BA14 0
BA14,BA14 4
BA14,BA14 6
BA14,BA14 7
BA14,BA14 8
BA14,BA14 9
BA15,BA15 1
BA15,BA15 2
BA15,BA15 5
BA16,BA16 0
BA16,BA16 9
BA2,BA2 0
BA2,BA2 1
BA2,BA2 2
BA2,BA2 3
BA2,BA2 4
BA2,BA2 5
BA2,BA2 6
BA2,BA2 7
BA2,BA2 8
BA2,BA2 9
BA20,BA20 1
BA20,BA20 2
BA20,BA20 9
BA21,BA21 3
BA21,BA21 4
BA21,BA21 5
BA22,BA22 7
BA22,BA22 8
BA22,BA22 9
BA3,BA3 2
BA3,BA3 3
BA3,BA3 4
BA3,BA3 5
BA3,BA3 9
BA4,BA4 4
BA4,BA4 5
BA4,BA4 6
BA4,BA4 9
BA5,BA5 1
BA5,BA5 2
BA5,BA5 3
BA5,BA5 9
BA6,BA6 0
BA6,BA6 8
BA6,BA6 9
BA7,BA7 7
BA8,BA8 0
BA9,BA9 0
BA9,BA9 8
BA9,BA9 9
BB1,BB1 1
BB1,BB1 2
BB1,BB1 3
BB1,BB1 4
BB1,BB1 5
BB1,BB1 6
BB1,BB1 7
BB1,BB1 8
BB1,BB1 9
BB10,BB10 1
BB10,BB10 2
BB10,BB10 3
BB10,BB10 4
BB11,BB11 1
BB11,BB11 2
BB11,BB11 3
BB11,BB11 4
BB11,BB11 5
BB11,BB11 9
BB12,BB12 0
BB12,BB12 6
BB12,BB12 7
BB12,BB12 8
BB12,BB12 9
BB18,BB18 5
BB18,BB18 6
BB18,BB18 9
BB2,BB2 1
BB2,BB2 2
BB2,BB2 3
BB2,BB2 4
BB2,BB2 5
BB2,BB2 6
BB2,BB2 7
BB2,BB2 9
BB3,BB3 0
BB3,BB3 1
BB3,BB3 2
BB3,BB3 3
BB3,BB3 9
BB4,BB4 0
BB4,BB4 4
BB4,BB4 5
BB4,BB4 6
BB4,BB4 7
BB4,BB4 8
BB4,BB4 9
BB5,BB5 0
BB5,BB5 1
BB5,BB5 2
BB5,BB5 3
BB5,BB5 4
BB5,BB5 5
BB5,BB5 6
BB5,BB5 9
BB6,BB6 7
BB6,BB6 8
BB7,BB7 0
BB7,BB7 1
BB7,BB7 2
BB7,BB7 3
BB7,BB7 4
BB7,BB7 9
BB8,BB8 0
BB8,BB8 7
BB8,BB8 8
BB8,BB8 9
BB9,BB9 0
BB9,BB9 4
BB9,BB9 5
BB9,BB9 6
BB9,BB9 7
BB9,BB9 8
BB9,BB9 9
BB94,BB94 0
BD1,BD1 1
BD1,BD1 2
BD1,BD1 3
BD1,BD1 4
BD1,BD1 5
BD1,BD1 9
BD10,BD10 0
BD10,BD10 8
BD10,BD10 9
BD11,BD11 1
BD11,BD11 2
BD12,BD12 0
BD12,BD12 7
BD12,BD12 8
BD12,BD12 9
BD13,BD13 1
BD13,BD13 2
BD13,BD13 3
BD13,BD13 4
BD13,BD13 5
BD13,BD13 9
BD14,BD14 6
BD15,BD15 0
BD15,BD15 7
BD15,BD15 8
BD15,BD15 9
BD16,BD16 1
BD16,BD16 2
BD16,BD16 3
BD16,BD16 4
BD16,BD16 9
BD17,BD17 5
BD17,BD17 6
BD17,BD17 7
BD18,BD18 1
BD18,BD18 2
BD18,BD18 3
BD18,BD18 4
BD18,BD18 9
BD19,BD19 3
BD19,BD19 4
BD19,BD19 5
BD19,BD19 6
BD19,BD19 9
BD2,BD2 1
BD2,BD2 2
BD2,BD2 3
BD2,BD2 4
BD20,BD20 0
BD20,BD20 5
BD20,BD20 6
BD20,BD20 7
BD20,BD20 8
BD20,BD20 9
BD21,BD21 1
BD21,BD21 2
BD21,BD21 3
BD21,BD21 4
BD21,BD21 5
BD21,BD21 9
BD22,BD22 0
BD22,BD22 6
BD22,BD22 7
BD22,BD22 8
BD22,BD22 9
BD23,BD23 0
BD23,BD23 1
BD23,BD23 2
BD23,BD23 3
BD23,BD23 4
BD23,BD23 5
BD23,BD23 6
BD23,BD23 9
BD24,BD24 0
BD24,BD24 9
BD3,BD3 0
BD3,BD3 7
BD3,BD3 8
BD3,BD3 9
BD4,BD4 0
BD4,BD4 6
BD4,BD4 7
BD4,BD4 8
BD4,BD4 9
BD5,BD5 0
BD5,BD5 5
BD5,BD5 7
BD5,BD5 8
BD5,BD5 9
BD6,BD6 1
BD6,BD6 2
BD6,BD6 3
BD7,BD7 1
BD7,BD7 2
BD7,BD7 3
BD7,BD7 4
BD8,BD8 0
BD8,BD8 7
BD8,BD8 8
BD8,BD8 9
BD9,BD9 4
BD9,BD9 5
BD9,BD9 6
BD97,BD97 1
BD98,BD98 8
BD99,BD99 2
BD99,BD99 4
BD99,BD99 9
BH1,BH1 1
BH1,BH1 2
BH1,BH1 3
BH1,BH1 4
BH1,BH1 9
BH10,BH10 4
BH10,BH10 5
BH10,BH10 6
BH10,BH10 7
BH11,BH11 0
BH11,BH11 8
BH11,BH11 9
BH12,BH12 1
BH12,BH12 2
BH12,BH12 3
BH12,BH12 4
BH12,BH12 5
BH12,BH12 9
BH13,BH13 6
BH13,BH13 7
BH14,BH14 0
BH14,BH14 4
BH14,BH14 8
BH14,BH14 9
BH15,BH15 1
BH15,BH15 2
BH15,BH15 3
BH15,BH15 4
BH15,BH15 9
BH16,BH16 5
BH16,BH16 6
BH17,BH17 0
BH17,BH17 7
BH17,BH17 8
BH17,BH17 9
BH18,BH18 0
BH18,BH18 8
BH18,BH18 9
BH19,BH19 1
BH19,BH19 2
BH19,BH19 3
BH19,BH19 9
BH2,BH2 5
BH2,BH2 6
BH20,BH20 4
BH20,BH20 5
BH20,BH20 6
BH20,BH20 7
BH20,BH20 9
BH21,BH21 1
BH21,BH21 2
BH21,BH21 3
BH21,BH21 4
BH21,BH21 5
BH21,BH21 6
BH21,BH21 7
BH21,BH21 8
BH21,BH21 9
BH22,BH22 0
BH22,BH22 2
BH22,BH22 8
BH22,BH22 9
BH23,BH23 1
BH23,BH23 2
BH23,BH23 3
BH23,BH23 4
BH23,BH23 5
BH23,BH23 6
BH23,BH23 7
BH23,BH23 8
BH23,BH23 9
BH24,BH24 1
BH24,BH24 2
BH24,BH24 3
BH24,BH24 4
BH24,BH24 9
BH25,BH25 5
BH25,BH25 6
BH25,BH25 7
BH25,BH25 9
BH3,BH3 7
BH31,BH31 6
BH31,BH31 7
BH31,BH31 9
BH4,BH4 0
BH4,BH4 8
BH4,BH4 9
BH5,BH5 1
BH5,BH5 2
BH6,BH6 3
BH6,BH6 4
BH6,BH6 5
BH7,BH7 6
BH7,BH7 7
BH8,BH8 0
BH8,BH8 8
BH8,BH8 9
BH9,BH9 1
BH9,BH9 2
BH9,BH9 3
BL0,BL0 0
BL0,BL0 9
BL1,BL1 1
BL1,BL1 2
BL1,BL1 3
BL1,BL1 4
BL1,BL1 5
BL1,BL1 6
BL1,BL1 7
BL1,BL1 8
BL1,BL1 9
BL11,BL11 1
BL2,BL2 1
BL2,BL2 2
BL2,BL2 3
BL2,BL2 4
BL2,BL2 5
BL2,BL2 6
BL3,BL3 1
BL3,BL3 2
BL3,BL3 3
BL3,BL3 4
BL3,BL3 5
BL3,BL3 6
BL4,BL4 0
BL4,BL4 4
BL4,BL4 7
BL4,BL4 8
BL4,BL4 9
BL5,BL5 1
BL5,BL5 2
BL5,BL5 3
BL6,BL6 4
BL6,BL6 5
BL6,BL6 6
BL6,BL6 7
BL6,BL6 9
BL7,BL7 0
BL7,BL7 8
BL7,BL7 9
BL78,BL78 1
BL78,BL78 7
BL8,BL8 1
BL8,BL8 2
BL8,BL8 3
BL8,BL8 4
BL8,BL8 9
BL9,BL9 0
BL9,BL9 5
BL9,BL9 6
BL9,BL9 7
BL9,BL9 8
BL9,BL9 9
BN1,BN1 1
BN1,BN1 2
BN1,BN1 3
BN1,BN1 4
BN1,BN1 5
BN1,BN1 6
BN1,BN1 7
BN1,BN1 8
BN1,BN1 9
BN10,BN10 7
BN10,BN10 8
BN10,BN10 9
BN11,BN11 1
BN11,BN11 2
BN11,BN11 3
BN11,BN11 4
BN11,BN11 5
BN11,BN11 9
BN12,BN12 4
BN12,BN12 5
BN12,BN12 6
BN12,BN12 9
BN13,BN13 1
BN13,BN13 2
BN13,BN13 3
BN14,BN14 0
BN14,BN14 7
BN14,BN14 8
BN14,BN14 9
BN15,BN15 0
BN15,BN15 5
BN15,BN15 8
BN15,BN15 9
BN16,BN16 1
BN16,BN16 2
BN16,BN16 3
BN16,BN16 4
BN16,BN16 9
BN17,BN17 5
BN17,BN17 6
BN17,BN17 7
BN18,BN18 0
BN18,BN18 8
BN18,BN18 9
BN2,BN2 0
BN2,BN2 1
BN2,BN2 3
BN2,BN2 4
BN2,BN2 5
BN2,BN2 6
BN2,BN2 7
BN2,BN2 8
BN2,BN2 9
BN20,BN20 0
BN20,BN20 7
BN20,BN20 8
BN20,BN20 9
BN21,BN21 1
BN21,BN21 2
BN21,BN21 3
BN21,BN21 4
BN21,BN21 9
BN22,BN22 0
BN22,BN22 7
BN22,BN22 8
BN22,BN22 9
BN23,BN23 5
BN23,BN23 6
BN23,BN23 7
BN23,BN23 8
BN24,BN24 5
BN24,BN24 6
BN24,BN24 9
BN25,BN25 1
BN25,BN25 2
BN25,BN25 3
BN25,BN25 4
BN25,BN25 9
BN26,BN26 5
BN26,BN26 6
BN26,BN26 9
BN27,BN27 1
BN27,BN27 2
BN27,BN27 3
BN27,BN27 4
BN27,BN27 9
BN3,BN3 1
BN3,BN3 2
BN3,BN3 3
BN3,BN3 4
BN3,BN3 5
BN3,BN3 6
BN3,BN3 7
BN3,BN3 8
BN41,BN41 1
BN41,BN41 2
BN41,BN41 9
BN42,BN42 4
BN43,BN43 5
BN43,BN43 6
BN43,BN43 9
BN44,BN44 3
BN45,BN45 7
BN5,BN5 0
BN5,BN5 9
BN50,BN50 8
BN50,BN50 9
BN51,BN51 9
BN52,BN52 9
BN6,BN6 0
BN6,BN6 8
BN6,BN6 9
BN7,BN7 1
BN7,BN7 2
BN7,BN7 3
BN7,BN7 9
BN8,BN8 4
BN8,BN8 5
BN8,BN8 6
BN88,BN88 1
BN9,BN9 0
BN9,BN9 1
BN9,BN9 9
BN95,BN95 1
BN99,BN99 3
BN99,BN99 4
BN99,BN99 6
BN99,BN99 8
BN99,BN99 9
BR1,BR1 1
BR1,BR1 2
BR1,BR1 3
BR1,BR1 4
BR1,BR1 5
BR1,BR1 9
BR2,BR2 0
BR2,BR2 6
BR2,BR2 7
BR2,BR2 8
BR2,BR2 9
BR3,BR3 1
BR3,BR3 3
BR3,BR3 4
BR3,BR3 5
BR3,BR3 6
BR3,BR3 9
BR4,BR4 0
BR4,BR4 4
BR4,BR4 9
BR5,BR5 1
BR5,BR5 2
BR5,BR5 3
BR5,BR5 4
BR6,BR6 0
BR6,BR6 1
BR6,BR6 6
BR6,BR6 7
BR6,BR6 8
BR6,BR6 9
BR7,BR7 5
BR7,BR7 6
BR7,BR7 9
BR8,BR8 7
BR8,BR8 8
BR8,BR8 9
BS1,BS1 1
BS1,BS1 2
BS1,BS1 3
BS1,BS1 4
BS1,BS1 5
BS1,BS1 6
BS1,BS1 9
BS10,BS10 5
BS10,BS10 6
BS10,BS10 7
BS11,BS11 0
BS11,BS11 1
BS11,BS11 8
BS11,BS11 9
BS13,BS13 0
BS13,BS13 7
BS13,BS13 8
BS13,BS13 9
BS14,BS14 0
BS14,BS14 8
BS14,BS14 9
BS15,BS15 0
BS15,BS15 1
BS15,BS15 3
BS15,BS15 4
BS15,BS15 8
BS15,BS15 9
BS16,BS16 0
BS16,BS16 1
BS16,BS16 2
BS16,BS16 3
BS16,BS16 4
BS16,BS16 5
BS16,BS16 6
BS16,BS16 7
BS16,BS16 9
BS2,BS2 0
BS2,BS2 2
BS2,BS2 8
BS2,BS2 9
BS20,BS20 0
BS20,BS20 1
BS20,BS20 6
BS20,BS20 7
BS20,BS20 8
BS21,BS21 5
BS21,BS21 6
BS21,BS21 7
BS21,BS21 9
BS22,BS22 6
BS22,BS22 7
BS22,BS22 8
BS22,BS22 9
BS23,BS23 1
BS23,BS23 2
BS23,BS23 3
BS23,BS23 4
BS23,BS23 9
BS24,BS24 0
BS24,BS24 6
BS24,BS24 7
BS24,BS24 8
BS24,BS24 9
BS25,BS25 1
BS25,BS25 5
BS25,BS25 9
BS26,BS26 2
BS27,BS27 3
BS27,BS27 9
BS28,BS28 4
BS29,BS29 6
BS3,BS3 1
BS3,BS3 2
BS3,BS3 3
BS3,BS3 4
BS3,BS3 5
BS3,BS3 9
BS30,BS30 5
BS30,BS30 6
BS30,BS30 7
BS30,BS30 8
BS30,BS30 9
BS31,BS31 1
BS31,BS31 2
BS31,BS31 3
BS31,BS31 9
BS32,BS32 0
BS32,BS32 4
BS32,BS32 8
BS32,BS32 9
BS34,BS34 4
BS34,BS34 5
BS34,BS34 6
BS34,BS34 7
BS34,BS34 8
BS34,BS34 9
BS35,BS35 1
BS35,BS35 2
BS35,BS35 3
BS35,BS35 4
BS35,BS35 5
BS35,BS35 9
BS36,BS36 1
BS36,BS36 2
BS36,BS36 9
BS37,BS37 0
BS37,BS37 4
BS37,BS37 5
BS37,BS37 6
BS37,BS37 7
BS37,BS37 8
BS37,BS37 9
BS39,BS39 4
BS39,BS39 5
BS39,BS39 6
BS39,BS39 7
BS4,BS4 1
BS4,BS4 2
BS4,BS4 3
BS4,BS4 4
BS4,BS4 5
BS4,BS4 9
BS40,BS40 5
BS40,BS40 6
BS40,BS40 7
BS40,BS40 8
BS40,BS40 9
BS41,BS41 8
BS41,BS41 9
BS48,BS48 1
BS48,BS48 2
BS48,BS48 3
BS48,BS48 4
BS48,BS48 9
BS49,BS49 4
BS49,BS49 5
BS5,BS5 0
BS5,BS5 5
BS5,BS5 6
BS5,BS5 7
BS5,BS5 8
BS5,BS5 9
BS6,BS6 5
BS6,BS6 6
BS6,BS6 7
BS6,BS6 9
BS7,BS7 0
BS7,BS7 8
BS7,BS7 9
BS8,BS8 1
BS8,BS8 2
BS8,BS8 3
BS8,BS8 4
BS8,BS8 9
BS9,BS9 0
BS9,BS9 1
BS9,BS9 2
BS9,BS9 3
BS9,BS9 4
BS98,BS98 1
BS99,BS99 1
BS99,BS99 2
BS99,BS99 3
BS99,BS99 5
BS99,BS99 6
BS99,BS99 7
BT1,BT1 1
BT1,BT1 2
BT1,BT1 3
BT1,BT1 4
BT1,BT1 5
BT1,BT1 6
BT10,BT10 0
BT11,BT11 8
BT11,BT11 9
BT12,BT12 4
BT12,BT12 5
BT12,BT12 6
BT12,BT12 7
BT13,BT13 1
BT13,BT13 2
BT13,BT13 3
BT14,BT14 6
BT14,BT14 7
BT14,BT14 8
BT15,BT15 1
BT15,BT15 2
BT15,BT15 3
BT15,BT15 4
BT15,BT15 5
BT16,BT16 1
BT16,BT16 2
BT17,BT17 0
BT17,BT17 9
BT18,BT18 0
BT18,BT18 9
BT19,BT19 1
BT19,BT19 6
BT19,BT19 7
BT2,BT2 7
BT2,BT2 8
BT20,BT20 3
BT20,BT20 4
BT20,BT20 5
BT20,BT20 9
BT21,BT21 0
BT22,BT22 1
BT22,BT22 2
BT23,BT23 4
BT23,BT23 5
BT23,BT23 6
BT23,BT23 7
BT23,BT23 8
BT24,BT24 7
BT24,BT24 8
BT25,BT25 1
BT25,BT25 2
BT26,BT26 6
BT27,BT27 4
BT27,BT27 5
BT27,BT27 6
BT28,BT28 1
BT28,BT28 2
BT28,BT28 3
BT29,BT29 4
BT3,BT3 9
BT30,BT30 0
BT30,BT30 6
BT30,BT30 7
BT30,BT30 8
BT30,BT30 9
BT31,BT31 9
BT32,BT32 3
BT32,BT32 4
BT32,BT32 5
BT33,BT33 0
BT34,BT34 1
BT34,BT34 2
BT34,BT34 3
BT34,BT34 4
BT34,BT34 5
BT35,BT35 0
BT35,BT35 6
BT35,BT35 7
BT35,BT35 8
BT35,BT35 9
BT36,BT36 4
BT36,BT36 5
BT36,BT36 6
BT36,BT36 7
BT36,BT36 9
BT37,BT37 0
BT37,BT37 9
BT38,BT38 7
BT38,BT38 8
BT38,BT38 9
BT39,BT39 0
BT39,BT39 9
BT4,BT4 1
BT4,BT4 2
BT4,BT4 3
BT40,BT40 1
BT40,BT40 2
BT40,BT40 3
BT41,BT41 1
BT41,BT41 2
BT41,BT41 3
BT41,BT41 4
BT41,BT41 9
BT42,BT42 1
BT42,BT42 2
BT42,BT42 3
BT42,BT42 4
BT43,BT43 5
BT43,BT43 6
BT43,BT43 7
BT44,BT44 0
BT44,BT44 8
BT44,BT44 9
BT45,BT45 5
BT45,BT45 6
BT45,BT45 7
BT45,BT45 8
BT46,BT46 5
BT47,BT47 2
BT47,BT47 3
BT47,BT47 4
BT47,BT47 5
BT47,BT47 6
BT48,BT48 0
BT48,BT48 4
BT48,BT48 6
BT48,BT48 7
BT48,BT48 8
BT48,BT48 9
BT49,BT49 0
BT49,BT49 4
BT49,BT49 9
BT5,BT5 4
BT5,BT5 5
BT5,BT5 6
BT5,BT5 7
BT51,BT51 3
BT51,BT51 4
BT51,BT51 5
BT52,BT52 1
BT52,BT52 2
BT53,BT53 6
BT53,BT53 7
BT53,BT53 8
BT53,BT53 9
BT54,BT54 6
BT55,BT55 7
BT56,BT56 8
BT57,BT57 8
BT6,BT6 0
BT6,BT6 8
BT6,BT6 9
BT60,BT60 1
BT60,BT60 2
BT60,BT60 3
BT60,BT60 4
BT61,BT61 0
BT61,BT61 7
BT61,BT61 8
BT61,BT61 9
BT62,BT62 1
BT62,BT62 2
BT62,BT62 3
BT62,BT62 4
BT63,BT63 5
BT63,BT63 6
BT64,BT64 1
BT64,BT64 2
BT64,BT64 3
BT64,BT64 9
BT65,BT65 4
BT65,BT65 5
BT66,BT66 6
BT66,BT66 7
BT66,BT66 8
BT67,BT67 0
BT67,BT67 9
BT68,BT68 4
BT69,BT69 6
BT7,BT7 1
BT7,BT7 2
BT7,BT7 3
BT70,BT70 1
BT70,BT70 2
BT70,BT70 3
BT71,BT71 4
BT71,BT71 5
BT71,BT71 6
BT71,BT71 7
BT74,BT74 0
BT74,BT74 4
BT74,BT74 5
BT74,BT74 6
BT74,BT74 7
BT74,BT74 8
BT74,BT74 9
BT75,BT75 0
BT76,BT76 0
BT77,BT77 0
BT78,BT78 1
BT78,BT78 2
BT78,BT78 3
BT78,BT78 4
BT78,BT78 5
BT78,BT78 9
BT79,BT79 0
BT79,BT79 7
BT79,BT79 8
BT79,BT79 9
BT8,BT8 6
BT8,BT8 7
BT8,BT8 8
BT80,BT80 0
BT80,BT80 8
BT80,BT80 9
BT81,BT81 7
BT82,BT82 0
BT82,BT82 1
BT82,BT82 8
BT82,BT82 9
BT9,BT9 5
BT9,BT9 6
BT9,BT9 7
BT92,BT92 0
BT92,BT92 1
BT92,BT92 2
BT92,BT92 3
BT92,BT92 4
BT92,BT92 5
BT92,BT92 6
BT92,BT92 7
BT92,BT92 8
BT92,BT92 9
BT93,BT93 0
BT93,BT93 1
BT93,BT93 2
BT93,BT93 3
BT93,BT93 4
BT93,BT93 5
BT93,BT93 6
BT93,BT93 7
BT93,BT93 8
BT94,BT94 1
BT94,BT94 2
BT94,BT94 3
BT94,BT94 4
BT94,BT94 5
CA1,CA1 1
CA1,CA1 2
CA1,CA1 3
CA1,CA1 9
CA10,CA10 1
CA10,CA10 2
CA10,CA10 3
CA11,CA11 0
CA11,CA11 1
CA11,CA11 7
CA11,CA11 8
CA11,CA11 9
CA12,CA12 4
CA12,CA12 5
CA12,CA12 9
CA13,CA13 0
CA13,CA13 3
CA13,CA13 9
CA14,CA14 1
CA14,CA14 2
CA14,CA14 3
CA14,CA14 4
CA14,CA14 5
CA14,CA14 9
CA15,CA15 6
CA15,CA15 7
CA15,CA15 8
CA15,CA15 9
CA16,CA16 6
CA17,CA17 4
CA18,CA18 1
CA19,CA19 1
CA2,CA2 4
CA2,CA2 5
CA2,CA2 6
CA2,CA2 7
CA20,CA20 1
CA21,CA21 2
CA22,CA22 2
CA22,CA22 9
CA23,CA23 3
CA24,CA24 3
CA25,CA25 5
CA26,CA26 3
CA27,CA27 0
CA28,CA28 0
